"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"91",848046,543545,201001,2,1,1972,37,37,4,2,3504.40168833406,2250,-13,2250,7870.25610593405,5000,5,5,"hbo",0,201001,1,1,0.8438,-0.3438,0.075,0.025,0.025,0.875,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,100
"92",848986,539169,201001,2,1,1963,46,46,3,2,2100,2100,2100,2100,2100,2100,5,5,"hbo",0,201001,2,1,0.4063,0.0936999999999999,0.3532,-0.2532,0.025,0.875,1.45,0.94870418732162,0,0.400756256532678,0.05129581267838,0
"93",849407,556906,201001,1,1,1921,88,88,4,2,2870,1954,1954,1954,4417.51725191917,3134,3,3,"havo/vwo",0,201001,1,1,0.4063,0.0936999999999999,0.1563,-0.0563,0.4375,0.4625,1.5,0.195296244858899,0,0.72248179628073,0.804703755141101,0
"94",849896,585229,201001,2,2,1964,46,48,5,3,660,588,588,588,5041,3915,2,2,"vmbo",0,201001,1,1,0.0313,0.4687,0.025,0.075,0.9719,-0.0719,0,0,0,1,1,0
"95",850942,519784,201001,1,1,1964,45,45,3,1,2150,1680,1680,1680,4254,3329,4,4,"mbo",0,201001,2,0,0.2188,0.2812,0.1,0,0.2969,0.6031,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,0
"96",851098,549243,201001,2,2,1961,48,56,4,2,NA,-13,-13,NA,NA,NA,4,4,"mbo",0,201001,2,1,0.5,0,0.025,0.075,0.1,0.8,1.5,0.195296244858899,0,0.72248179628073,0.804703755141101,200
"97",851431,519931,201001,1,1,1968,41,41,4,2,4444.3379578197,2750,-13,2750,5411.18680076048,3500,5,4,"mbo",0,201001,1,1,0.4688,0.0311999999999999,0.3532,-0.2532,0.1844,0.7156,0,0,0,1,1,50
"98",852264,554714,201001,1,1,1983,26,26,2,0,3000,2200,2200,2200,5000,3700,6,5,"hbo",0,201001,1,1,0.2188,0.2812,0.075,0.025,0.025,0.875,1.5,0.195296244858899,3,0.72248179628073,0.804703755141101,50
"99",852603,548422,201001,1,1,1979,30,30,1,0,2250,1695,1695,1695,2250,1695,6,3,"havo/vwo",0,201001,1,1,0.5938,-0.0938,0.1,0,0.5219,0.3781,1.45,0.704197072446956,1,0.717349210579093,0.295802927553044,0
"100",852767,541998,201001,2,2,1963,46,47,5,3,0,0,0,0,6541.96192734402,3800,4,4,"mbo",0,201001,1,0,0.4688,0.0311999999999999,0.075,0.025,0.2407,0.6593,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,200
"101",853695,590216,201001,2,3,1956,53,52,3,1,2648.60061321236,1800,1800,1800,5844.16637677327,4072,4,4,"mbo",0,201001,1,0,0.4688,0.0311999999999999,0.4657,-0.3657,0.4657,0.4343,0,0,0,1,1,0
"102",854919,550875,201001,2,3,1973,37,43,5,3,474.674608358882,397,397,397,2996.64431082328,2097,4,4,"mbo",0,201001,1,0,0.5938,-0.0938,0.1563,-0.0563,0.075,0.825,1.5,0.428907270411871,1,0.72248179628073,0.571092729588129,0
"103",854937,590234,201001,2,2,1962,47,58,4,2,3400,1700,1700,1700,NA,NA,5,5,"hbo",0,201001,2,0,0.25,0.25,0.1,0,0.1,0.8,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,0
"104",855810,544250,201001,1,2,1959,50,48,4,2,5000,4000,4000,4000,5000,4000,6,6,"wo",0,201001,2,0,0.4063,0.0936999999999999,0.2969,-0.1969,0.5219,0.3781,1.5,0.428907270411871,0,0.72248179628073,0.571092729588129,0
"105",856130,592016,201001,2,2,1979,30,29,4,2,2000,1300,1300,1300,4136,3000,5,5,"hbo",0,201001,2,0,0.4688,0.0311999999999999,0.55,-0.45,0.1844,0.7156,0.25,1.47278809242871,0,0.561207041652516,-0.47278809242871,0
"106",856231,510757,201001,2,2,1963,46,45,3,1,0,0,0,0,1000,800,5,5,"hbo",0,201001,1,0,0.25,0.25,0.1,0,0.55,0.35,1.5,0.195296244858899,0,0.72248179628073,0.804703755141101,0
"107",856646,536044,201001,1,1,1956,53,53,1,0,3150,2100,2100,2100,3150,2100,3,2,"vmbo",0,201001,2,1,0.4688,0.0311999999999999,0.1282,-0.0282,0.025,0.875,1.5,0.428907270411871,1,0.411637775270135,0.571092729588129,0
