R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
10373,0.524421573,0.524421573,0.524421573,0.524421573,0.524421573,0.496513006,0.496513006,0.619027191,0.569481686,0.510758362,0.602338522,0.61498087,0.499239379,0.499239379,0.507904216,0.425394106,0.372759942,0.333159445,0.532488732,0.519973293,0.519973293,0.532047774,0.459812179,0.407003485,0.396228136,0.556406374,0.542241973,0.542241973
10374,0.524421573,0.524421573,0.524421573,0.524421573,0.524421573,0.496513006,0.496513006,0.589913872,0.409959454,0.419874567,0.461016336,0.492088363,0.557834803,0.557834803,0.503736666,0.376624105,0.356352088,0.342238371,0.485608987,0.533319222,0.533319222,0.432506742,0.314083395,0.309258081,0.344368711,0.408099192,0.615858393,0.615858393
10375,1.679098298,1.679098298,1.679098298,1.679098298,1.589740365,1.589740365,1.589740365,2.302847145,1.427393651,1.288397109,1.241495571,1.56323302,1.56323302,1.56323302,1.592230397,1.218841826,1.101660609,1.058028128,1.725583126,1.725583126,1.725583126,1.745464265,1.132650341,1.026070447,0.985868332,1.697867766,1.697867766,1.697867766
10376,0.950837193,0.950837193,0.950837193,0.950837193,0.950837193,0.900235721,0.900235721,1.098722245,0.801007525,0.71786692,0.726492151,0.87920708,0.981845763,0.981845763,1.185137744,0.918090744,0.816157524,0.827029381,1.211556567,0.813277589,0.813277589,1.026433912,0.783130655,0.699598117,0.707583948,0.986985343,0.935202972,0.935202972
10377,0.917438921,0.917438921,0.917438921,0.917438921,0.917438921,0.868614831,0.868614831,1.025096871,0.861091384,0.713914331,0.690914218,0.783162776,0.958533778,0.958533778,0.909269474,0.659140608,0.607125785,0.527481462,0.770977872,0.972357544,0.972357544,0.793508897,0.683690679,0.627058824,0.456940538,0.622437497,1.045342251,1.045342251
10378,1.351900861,1.351900861,1.351900861,1.351900861,1.279955659,1.279955659,1.279955659,1.992547993,1.416918424,1.325208639,1.307168111,1.150193572,1.150193572,1.150193572,1.601311278,1.315619569,1.172024179,1.156262788,1.143461162,1.143461162,1.143461162,1.601459093,1.450140703,1.318962081,1.300175882,1.093797091,1.093797091,1.093797091
10379,0.911623059,0.911623059,0.911623059,0.911623059,0.911623059,0.863108477,0.863108477,1.009482733,0.750191128,0.707617669,0.682572134,0.76745951,0.969689698,0.969689698,1.040709802,0.761027518,0.744232299,0.745137653,1.019893234,0.784707107,0.784707107,0.910700373,0.683847799,0.6555931,0.643556876,0.840800289,0.920877142,0.920877142
10381,2.30136218,2.178888726,2.30136218,2.30136218,2.178888726,2.178888726,2.178888726,3.805012475,1.725031051,2.889684059,2.324830162,1.725031051,1.725031051,1.725031051,2.188579059,2.238044816,1.575742136,1.573915764,2.238044816,2.238044816,2.238044816,2.910069475,1.766104052,2.380752004,2.035182332,1.766104052,1.766104052,1.766104052
10382,3.085229036,3.085229036,3.085229036,3.085229036,3.085229036,2.921039906,2.921039906,5.386604299,3.809694644,3.41018629,3.361255662,3.34615652,2.147170547,2.147170547,2.944675587,2.332965574,2.134937481,2.075921437,3.023906209,2.739135574,2.739135574,3.986014722,3.122048835,2.844695427,2.775460009,3.556802894,2.149358811,2.149358811
10383,0.680678542,0.644454321,0.680678542,0.680678542,0.644454321,0.644454321,0.644454321,0.860315124,0.663375022,0.615643911,0.590923617,0.663375022,0.663375022,0.663375022,0.626155122,0.689225559,0.433078319,0.432176097,0.689225559,0.689225559,0.689225559,0.676998968,0.703293793,0.476470615,0.470573692,0.703293793,0.703293793,0.703293793
10384,1.87739849,1.87739849,1.777487455,1.87739849,1.87739849,1.777487455,1.777487455,2.650328776,2.170338004,1.457396335,1.805463275,2.190759304,1.457396335,1.457396335,2.123028849,1.611061339,1.480529663,1.661101893,2.075418526,1.480529663,1.480529663,2.52090531,1.965907545,1.337910672,1.807749215,2.378882997,1.337910672,1.337910672
10385,1.144655086,1.144655086,1.08373905,1.08373905,1.08373905,1.08373905,1.08373905,1.379796262,1.072711225,1.022239536,1.022239536,1.022239536,1.022239536,1.022239536,1.110778438,0.842914687,1.03445884,1.03445884,1.03445884,1.03445884,1.03445884,1.183617888,0.854429826,1.039533823,1.039533823,1.039533823,1.039533823,1.039533823
10386,0.905473462,0.905473462,0.857286148,0.905473462,0.905473462,0.857286148,0.857286148,1.541838348,1.350954451,0.694882945,1.046970208,1.352588661,0.694882945,0.694882945,0.917909663,0.806161227,0.792723003,0.724478626,1.050590466,0.792723003,0.792723003,1.298551215,1.214515404,0.695209722,0.929772202,1.311228917,0.695209722,0.695209722
10389,1.078179187,1.078179187,1.078179187,1.078179187,1.078179187,1.020800853,1.020800853,1.426105606,1.044498376,0.949132994,0.931109619,1.064225618,1.018920919,1.018920919,1.115619078,0.885901486,0.665586908,0.652314987,0.948098109,1.062053569,1.062053569,1.212207799,1.007539743,0.756676368,0.741332421,1.007174326,1.032878584,1.032878584
10390,2.323628845,2.199970408,2.199970408,2.323628845,2.199970408,2.323628845,2.199970408,2.257458301,2.193770967,2.193770967,1.63541583,2.193770967,1.946972833,2.193770967,1.959134256,2.195830798,2.195830798,1.625420418,2.081245629,2.195830798,2.195830798,1.586979595,2.317448089,2.317448089,1.354651797,2.317448089,1.492810527,2.317448089
10391,1.952586138,1.848673781,1.952586138,1.952586138,1.952586138,1.848673781,1.848673781,2.857119165,1.595773629,1.77249578,2.044152839,2.27069076,1.595773629,1.595773629,2.206124283,1.747592305,1.473045095,1.504491803,2.143234947,1.747592305,1.747592305,2.573295656,1.548037078,1.596934948,1.909555208,2.358627649,1.548037078,1.548037078
10392,1.888865504,1.888865504,1.888865504,1.888865504,1.888865504,1.78834422,1.78834422,2.474420739,1.85543842,1.576255023,1.578959631,1.910051045,1.666802642,1.666802642,2.363707667,1.334725903,1.122706052,1.146258164,1.662226952,1.870647797,1.870647797,2.598289281,1.457247364,1.233615225,1.250808916,1.734008139,1.696772242,1.696772242
10397,1.037961886,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,1.538481541,0.909914927,0.909914927,0.909914927,0.909914927,0.909914927,0.909914927,0.984806089,0.946269706,0.946269706,0.946269706,0.946269706,0.946269706,0.946269706,1.163716536,0.93469945,0.93469945,0.93469945,0.93469945,0.93469945,0.93469945
10401,1.978145404,1.872872839,1.872872839,1.872872839,1.978145404,1.872872839,1.872872839,1.762926691,1.836574884,1.836574884,1.836574884,1.564760672,1.836574884,1.836574884,1.875258338,1.786334795,1.786334795,1.786334795,2.540133443,1.786334795,1.786334795,1.499230562,1.814351771,1.814351771,1.814351771,1.874939783,1.814351771,1.814351771
10402,1.764434202,1.764434202,1.764434202,1.764434202,1.863611525,1.764434202,1.764434202,1.705955802,1.705955802,1.705955802,1.705955802,1.575739257,1.705955802,1.705955802,1.613604391,1.613604391,1.613604391,1.613604391,3.010386219,1.613604391,1.613604391,1.616137521,1.616137521,1.616137521,1.616137521,2.127919548,1.616137521,1.616137521
10405,1.550040921,1.550040921,1.550040921,1.550040921,1.550040921,1.550040921,1.637167382,1.412201652,1.412201652,1.412201652,1.412201652,1.412201652,1.412201652,2.43493975,1.538684348,1.538684348,1.538684348,1.538684348,1.38356913,1.538684348,1.538684348,1.441494832,1.441494832,1.441494832,1.441494832,1.441494832,1.441494832,1.949924723
10406,1.324332796,1.253854705,1.253854705,1.324332796,1.253854705,1.253854705,1.253854705,1.680034584,1.18714417,1.18714417,1.018023121,1.18714417,1.18714417,1.18714417,1.369398413,1.218816449,1.218816449,0.868771906,1.218816449,1.218816449,1.218816449,1.312399648,1.226631033,1.226631033,0.88374921,1.226631033,1.226631033,1.226631033
10410,1.101524363,1.042903649,1.101524363,1.101524363,1.101524363,1.042903649,1.042903649,1.475365527,1.055037672,0.855777099,0.881802544,1.198085651,1.055037672,1.055037672,1.121626128,1.063954949,0.721962128,0.690863088,1.154765632,1.063954949,1.063954949,1.14669096,1.084032236,0.74585037,0.659543272,1.263174386,1.084032236,1.084032236
10412,0.911623059,0.911623059,0.911623059,0.911623059,0.911623059,0.863108477,0.863108477,1.466442122,1.295825339,1.023818006,1.049572254,1.448806322,0.705307206,0.705307206,1.09763177,0.722892003,0.623944217,0.599666748,0.878569936,0.843347198,0.843347198,1.447905603,1.05891705,0.829501939,0.809762217,1.322029465,0.723133018,0.723133018
10421,5.414653398,5.414653398,5.414653398,5.126497405,5.126497405,5.414653398,5.126497405,6.667361399,4.570052635,4.095258493,4.491212703,4.491212703,5.01807364,4.491212703,5.576518903,4.905475078,3.780958371,4.719170517,4.532698082,4.719170517,4.719170517,5.391467504,4.565026889,3.580890651,4.402793736,4.402793736,3.380163963,4.402793736
10422,0.524421573,0.524421573,0.524421573,0.524421573,0.524421573,0.496513006,0.496513006,0.612237271,0.546062812,0.524597804,0.454028186,0.556678964,0.520550815,0.520550815,0.667469542,0.347941529,0.367099328,0.36546537,0.525998712,0.508465165,0.508465165,0.60557755,0.381510891,0.418456508,0.426470565,0.502610498,0.542768264,0.542768264
10423,1.274470576,1.274470576,1.274470576,1.274470576,1.274470576,1.206646044,1.206646044,1.602344949,1.258804251,1.153907331,1.183123754,1.497344128,1.120748817,1.120748817,1.243430416,0.943577696,0.843063338,0.785528057,1.228088806,1.244352776,1.244352776,1.355237194,1.061258024,0.958475754,0.957518199,1.425177536,1.1506419,1.1506419
10424,2.011007694,2.011007694,2.011007694,2.011007694,2.011007694,1.90398627,1.90398627,2.738246043,2.05979704,1.879212177,1.823175688,2.415611616,1.631497913,1.631497913,2.278277513,1.707601173,1.561523287,1.500764916,2.213331326,1.680611979,1.680611979,2.547935408,1.934203605,1.77286304,1.706856802,2.45302416,1.502548141,1.502548141
10425,3.254754834,3.254754834,3.254754834,3.254754834,3.254754834,3.081543911,3.081543911,4.273962897,3.070489676,3.013006685,2.882954836,3.498729023,2.603897368,2.603897368,2.803608484,2.050161534,2.004916243,1.913531608,2.729449348,3.272251944,3.272251944,2.993782431,2.1950904,2.151219376,2.053209046,2.817636171,2.939290425,2.939290425
10426,1.481918812,1.481918812,1.481918812,1.481918812,1.481918812,1.403054339,1.403054339,2.407898688,1.474046421,1.338088586,1.244293792,1.541658033,1.246502587,1.246502587,1.336273985,1.001556225,0.947303462,0.880240929,1.298181216,1.545256833,1.545256833,1.767625966,1.14392562,1.044408258,0.970668768,1.370744564,1.37607558,1.37607558
10427,0.524421573,0.524421573,0.524421573,0.524421573,0.524421573,0.496513006,0.496513006,0.610889015,0.434271407,0.43080166,0.430172996,0.56605927,0.549205174,0.549205174,0.512273649,0.384768671,0.350785652,0.341652356,0.478813158,0.531977775,0.531977775,0.505841037,0.372946536,0.338984835,0.33243121,0.502304178,0.582549471,0.582549471
10428,2.634028792,2.49385155,2.634028792,2.634028792,2.634028792,2.49385155,2.49385155,4.222965354,1.976265069,2.771748474,2.960222931,3.370940545,1.976265069,1.976265069,2.272437234,2.725430969,1.53931881,1.533886604,2.304360741,2.725430969,2.725430969,2.875098592,2.231599293,1.882513503,1.980983172,2.859131839,2.231599293,2.231599293
10429,0.988515463,0.935908836,0.988515463,0.935908836,0.988515463,0.935908836,0.935908836,1.152908678,0.969476404,0.756132722,0.969476404,1.027587706,0.969476404,0.969476404,0.854842644,1.01499898,0.579595354,1.01499898,0.844295482,1.01499898,1.01499898,0.8754734,1.043774676,0.554620475,1.043774676,0.876290229,1.043774676,1.043774676
10430,2.151015814,2.151015814,2.151015814,2.151015814,2.151015814,2.036543465,2.036543465,4.096302642,2.734458521,2.047158867,2.029200361,2.546272038,1.591147723,1.591147723,2.353497436,1.719421717,1.594227915,1.588601936,2.271360898,1.881570372,1.881570372,2.993894384,2.143513293,1.869677506,1.859379697,2.572680163,1.595661278,1.595661278
10431,0.722276664,0.722276664,0.722276664,0.722276664,0.722276664,0.683838682,0.683838682,1.300444179,0.943565045,0.869831817,0.88899953,1.025695812,0.54126704,0.54126704,0.648475417,0.54410398,0.492199082,0.515256748,0.709662531,0.725652042,0.725652042,0.953612735,0.718400327,0.655407187,0.679485387,0.896851222,0.620632368,0.620632368
10432,3.214170529,3.214170529,3.214170529,3.214170529,3.214170529,3.043119414,3.043119414,5.258945839,3.456358978,3.222055435,3.194991978,4.330987928,2.347321864,2.347321864,3.830725335,2.877257305,2.597285739,2.5548383,3.721523976,2.685743011,2.685743011,4.81229889,3.101497655,2.834452964,2.922538385,4.661171349,2.247100773,2.247100773
