R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
13,1.739166925,1.739166925,1.739166925,1.739166925,1.653091581,1.653091581,1.653091581,2.614464606,2.344492994,2.020218344,1.848418418,1.663388202,1.663388202,1.663388202,2.183002516,1.810312937,1.680764815,1.651760871,2.352461367,2.352461367,2.352461367,2.482037535,2.175954278,2.033651933,1.921470842,2.038779428,2.038779428,2.038779428
14,2.550452627,2.550452627,2.550452627,2.550452627,2.550452627,2.4242249,2.4242249,2.980995121,2.369724673,2.234922421,2.013354718,2.606885768,2.562493249,2.562493249,2.343651362,1.926032235,1.836744653,1.83257987,2.850599755,2.460871189,2.460871189,2.446542404,1.634650633,1.935726834,1.918579596,2.822744197,2.552317191,2.552317191
15,2.277995716,2.277995716,2.277995716,2.277995716,2.277995716,2.165252503,2.165252503,3.240228109,2.537367119,2.519830916,2.370969322,2.688370306,1.972439721,1.972439721,2.649906798,1.728852475,1.75968183,1.623143043,2.540423319,2.592440944,2.592440944,3.006489096,2.23227399,2.01168673,1.855860691,2.714912329,2.195737811,2.195737811
16,1.402188407,1.402188407,1.402188407,1.402188407,1.402188407,1.332790899,1.332790899,1.332469632,1.026006802,0.911356419,1.003607457,1.131532503,1.595017772,1.595017772,1.085499022,0.802434387,0.707563066,0.75465917,1.26844362,1.262353027,1.262353027,1.03344888,0.687801078,0.677849992,0.704175833,1.1460106,1.442881096,1.442881096
17,1.485603167,1.485603167,1.485603167,1.485603167,1.485603167,1.412077272,1.412077272,2.431597106,1.528665402,1.392648804,1.409473334,1.737387375,1.408428299,1.408428299,2.724330901,1.185148108,1.045103226,1.042659199,1.621868769,1.680128469,1.680128469,3.142699326,1.234307032,1.225876469,1.220071124,1.770758542,1.494881322,1.494881322
18,1.517369675,1.517369675,1.517369675,1.517369675,1.517369675,1.442271583,1.442271583,1.682019362,1.36222211,1.312959402,1.26007362,1.530832427,1.567501582,1.567501582,1.807229077,1.335959524,1.213483218,1.175338742,1.802263325,1.330565229,1.330565229,1.923423885,1.13753915,1.313138756,1.258869981,1.85034593,1.350542472,1.350542472
19,0.766616792,0.728675176,0.728675176,0.766616792,0.728675176,0.728675176,0.728675176,0.916577402,0.74732249,0.74732249,0.544475355,0.74732249,0.74732249,0.74732249,0.696527603,0.777176488,0.777176488,0.37898353,0.777176488,0.777176488,0.777176488,0.679793409,0.806502896,0.806502896,0.359585916,0.806502896,0.806502896,0.806502896
20,1.483075274,1.483075274,1.483075274,1.483075274,1.40967449,1.483075274,1.40967449,1.622621236,1.291902873,1.1579525,1.130704555,1.50241055,1.194727671,1.50241055,1.241290251,0.958384697,0.848906643,0.823189185,1.111177577,1.3419088,1.3419088,1.313493598,0.908451636,0.900998038,0.870921741,1.399310906,0.935394177,1.399310906
21,1.347568491,1.347568491,1.347568491,1.347568491,1.347568491,1.280874248,1.280874248,1.725780052,1.254431095,1.224106387,1.134649682,1.292967784,1.519540331,1.519540331,1.616905539,1.191016953,1.162487563,1.072286802,1.678263913,1.651603404,1.651603404,1.684320315,1.100472703,1.196185676,1.098954582,1.609864374,1.705306285,1.705306285
22,2.757812828,2.757812828,2.757812828,2.757812828,2.757812828,2.621322371,2.621322371,3.204153481,2.351023598,2.515138427,2.182708881,2.5513731,2.621093307,2.621093307,2.45864509,1.811044561,1.684681098,1.63050507,2.570372032,2.615675414,2.615675414,2.542564088,1.654736778,1.782581452,1.677957133,2.471413699,2.638543015,2.638543015
24,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.907189288,1.677389177,1.677389177,1.677389177,1.677389177,1.677389177,1.677389177,1.472327249,1.703885949,1.703885949,1.703885949,1.703885949,1.703885949,1.703885949,1.569301604,1.664501127,1.664501127,1.664501127,1.664501127,1.664501127,1.664501127
25,2.579363634,2.579363634,2.579363634,2.579363634,2.579363634,2.451705035,2.451705035,2.996321916,2.117336408,1.99125031,1.928838985,2.280239114,2.786260966,2.786260966,2.394571871,1.760584337,1.640777673,1.588013493,2.467799564,2.719952813,2.719952813,2.504937257,1.620707303,1.689202858,1.624845339,2.392609503,2.771319508,2.771319508
26,3.810869907,3.622261249,3.622261249,3.622261249,3.810869907,3.622261249,3.622261249,6.204041762,3.180070956,3.180070956,3.180070956,4.343690965,3.180070956,3.180070956,3.582139772,3.396691545,3.396691545,3.396691545,3.664817576,3.396691545,3.396691545,4.398591375,3.10222697,3.10222697,3.10222697,4.097677115,3.10222697,3.10222697
27,1.76161547,1.76161547,1.76161547,1.76161547,1.76161547,1.674429096,1.674429096,2.558932318,1.793935364,1.741228441,1.648625677,1.873965802,2.027706204,2.027706204,2.470956121,1.816745071,1.776514268,1.660702527,2.564724029,2.48530655,2.48530655,2.499137222,2.015193693,1.754557529,1.636716348,2.403877044,2.457058363,2.457058363
28,0.873071805,0.829861487,0.829861487,0.829861487,0.873071805,0.829861487,0.829861487,0.839628924,0.82413365,0.82413365,0.82413365,0.717622094,0.82413365,0.82413365,0.906358547,0.745424589,0.745424589,0.745424589,0.894739662,0.745424589,0.745424589,0.799893772,0.793295905,0.793295905,0.793295905,0.762587044,0.793295905,0.793295905
29,1.370762284,1.370762284,1.302920127,1.370762284,1.370762284,1.302920127,1.302920127,1.451446874,0.944404452,1.481613272,0.914972208,1.026423441,1.481613272,1.481613272,1.524091787,0.776403447,1.306544443,0.730178056,1.04739959,1.306544443,1.306544443,1.439572385,0.657162689,1.463653818,0.689655163,0.946838537,1.463653818,1.463653818
30,0.776237713,0.776237713,0.776237713,0.776237713,0.776237713,0.737819936,0.737819936,0.918427826,0.682367748,0.644000146,0.600863827,0.806143151,0.899150792,0.899150792,0.798471337,0.580952597,0.540378831,0.543975645,0.820138779,1.026233651,1.026233651,0.759789543,0.621552007,0.517779165,0.507362842,0.749524505,1.089749999,1.089749999
31,1.915914976,1.915914976,1.915914976,1.915914976,1.915914976,1.821091967,1.821091967,2.361792087,1.935827181,1.812046156,1.718454633,1.984569464,1.69278489,1.69278489,1.776799889,1.519884434,1.392497087,1.410429516,1.83113568,1.711820019,1.711820019,1.96404829,1.359742536,1.56229646,1.586294183,1.932247059,1.657403585,1.657403585
32,1.96035215,1.863329843,1.96035215,1.96035215,1.96035215,1.863329843,1.863329843,2.384637115,1.910173926,1.816396777,1.717810505,1.851400877,1.910173926,1.910173926,1.78938476,2.004901748,1.41888921,1.358568681,1.838792951,2.004901748,2.004901748,1.852670318,1.969876179,1.551715714,1.407013156,1.72779827,1.969876179,1.969876179
33,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,2.766300448,1.493470044,1.493470044,1.493470044,1.493470044,1.493470044,1.493470044,2.130516565,1.497783093,1.497783093,1.497783093,1.497783093,1.497783093,1.497783093,2.55936829,1.411350812,1.411350812,1.411350812,1.411350812,1.411350812,1.411350812
34,1.370762284,1.370762284,1.302920127,1.370762284,1.370762284,1.302920127,1.302920127,1.730169979,1.329767947,1.160137086,1.058865654,1.552103515,1.160137086,1.160137086,1.20565049,0.781902376,1.295844446,0.680632715,1.222938747,1.295844446,1.295844446,1.497745296,0.857896436,1.141394729,0.808740605,1.442583887,1.141394729,1.141394729
35,2.50996394,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.628481384,2.407337689,2.407337689,2.407337689,2.407337689,2.407337689,2.407337689,2.272450794,2.385534907,2.385534907,2.385534907,2.385534907,2.385534907,2.385534907,2.210102874,2.357935707,2.357935707,2.357935707,2.357935707,2.357935707,2.357935707
36,0.776237713,0.776237713,0.776237713,0.776237713,0.776237713,0.737819936,0.737819936,0.974635284,0.693890994,0.668869668,0.77398385,0.980565078,0.814488846,0.814488846,0.833542235,0.590841411,0.578313423,0.5602146,0.859032543,0.990496962,0.990496962,0.922089917,0.582303015,0.632884052,0.622315835,0.955515629,0.961037662,0.961037662
37,0.491898688,0.491898688,0.491898688,0.491898688,0.491898688,0.467553499,0.467553499,0.491137876,0.340326221,0.322103107,0.332701963,0.362518251,0.552308442,0.552308442,0.427944673,0.314641919,0.296908949,0.28380101,0.444184329,0.510112201,0.510112201,0.402515364,0.262320835,0.276295503,0.268183287,0.388018993,0.569418876,0.569418876
38,1.73060901,1.73060901,1.73060901,1.73060901,1.73060901,1.644957216,1.644957216,1.58369629,1.204357557,1.143744742,1.117092553,1.305230367,1.798488695,1.798488695,1.220364638,0.865033509,0.846691651,0.831281022,1.266675067,1.460532106,1.460532106,1.159985703,0.746823459,0.808349128,0.787721366,1.135391042,1.614186197,1.614186197
39,3.449176661,3.449176661,3.449176661,3.449176661,3.449176661,3.278469028,3.278469028,3.693998861,2.956401192,2.924797766,2.658774247,3.066235334,3.302326867,3.302326867,2.79930463,2.138490002,1.885657653,1.90681436,2.884909336,3.174273383,3.174273383,3.027991231,1.932400162,2.12175499,2.065598074,2.962631203,3.075362084,3.075362084
40,2.356193047,2.356193047,2.356193047,2.356193047,2.356193047,2.239579671,2.239579671,3.295075983,1.948774757,1.835657769,1.809490833,2.256124128,2.216378884,2.216378884,2.233075731,1.341314792,1.311612125,1.310690466,1.907224871,2.093515602,2.093515602,2.534403342,1.297660935,1.399526896,1.382528823,1.955403882,2.033281356,2.033281356
41,1.573226266,1.573226266,1.573226266,1.573226266,1.573226266,1.495363703,1.495363703,2.139519208,1.44007416,1.470875963,1.426883687,1.515982788,1.426537467,1.426537467,2.060231083,0.970426523,0.987731426,0.987037355,1.415849891,1.495161494,1.495161494,2.381489564,0.903504791,1.146471021,1.127535431,1.557336542,1.410896447,1.410896447
42,1.090153323,1.090153323,1.090153323,1.090153323,1.090153323,1.036199145,1.036199145,1.215636306,0.916573322,0.835256867,0.842980517,0.962137793,0.979241739,0.979241739,0.784753993,0.599501944,0.537719016,0.535430754,0.820415164,0.919052173,0.919052173,0.872496033,0.590389489,0.593826091,0.588981437,0.851546096,0.901467788,0.901467788
43,1.923654912,1.923654912,1.828448835,1.923654912,1.923654912,1.828448835,1.828448835,1.924995072,1.680027748,1.698058594,1.378551346,1.78304597,1.698058594,1.698058594,1.795082067,0.942424505,1.495751433,0.970589026,1.523482897,1.495751433,1.495751433,1.666496798,0.895577288,1.60676813,0.957144685,1.433708926,1.60676813,1.60676813
44,2.676962662,2.676962662,2.544473664,2.676962662,2.676962662,2.544473664,2.544473664,2.403369806,1.920638846,2.593185525,1.797000161,1.789902253,2.593185525,2.593185525,1.854143928,1.363240251,2.176761595,1.276471607,1.938400835,2.176761595,2.176761595,1.675438095,1.421690845,2.340214034,1.213114008,1.652522247,2.340214034,2.340214034
45,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.867110653,1.688551762,1.688551762,1.688551762,1.688551762,1.688551762,1.688551762,1.462213311,1.707988743,1.707988743,1.707988743,1.707988743,1.707988743,1.707988743,1.559832104,1.667902617,1.667902617,1.667902617,1.667902617,1.667902617,1.667902617
46,0.981791755,0.981791755,0.981791755,0.981791755,0.933200638,0.933200638,0.933200638,1.124788982,0.87424934,0.744221561,0.733103556,0.917451549,0.917451549,0.917451549,0.789663387,0.580591883,0.541082968,0.530724108,0.839455258,0.839455258,0.839455258,0.850819479,0.565201325,0.563495675,0.549547039,0.855161553,0.855161553,0.855161553
47,1.221705572,1.221705572,1.221705572,1.221705572,1.221705572,1.161240572,1.161240572,1.571106405,1.277908724,1.165186906,1.104626387,1.236804552,1.314125199,1.314125199,1.685786273,1.287833075,1.169768842,1.117966589,1.76239259,1.270528882,1.270528882,1.788057812,1.164083358,1.255686719,1.1885212,1.790906065,1.304237192,1.304237192
48,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.297466037,0.938107817,0.938107817,0.938107817,0.938107817,0.938107817,0.938107817,0.914030952,0.933534705,0.933534705,0.933534705,0.933534705,0.933534705,0.933534705,1.050341524,0.917528685,0.917528685,0.917528685,0.917528685,0.917528685,0.917528685
49,2.356870026,2.356870026,2.356870026,2.240223143,2.240223143,2.240223143,2.240223143,2.274822384,1.673456558,1.64058904,2.10911215,2.10911215,2.10911215,2.10911215,1.62324473,1.146598725,1.126210738,1.895983624,1.895983624,1.895983624,1.895983624,1.681497359,1.069629369,1.16639347,1.919954492,1.919954492,1.919954492,1.919954492
50,0.907974642,0.907974642,0.863036903,0.907974642,0.907974642,0.863036903,0.863036903,0.782996424,0.611277934,0.949361488,0.660685137,0.630876023,0.949361488,0.949361488,0.731058338,0.537503123,0.833302549,0.49879468,0.726147177,0.833302549,0.833302549,0.670161979,0.445734163,0.926291933,0.482114473,0.631470135,0.926291933,0.926291933
52,2.567816746,2.567816746,2.567816746,2.567816746,2.567816746,2.701521202,2.567816746,2.519550313,2.519550313,2.519550313,2.519550313,2.519550313,2.247436245,2.519550313,2.411203174,2.411203174,2.411203174,2.411203174,2.337432495,2.411203174,2.411203174,2.41273372,2.41273372,2.41273372,2.41273372,2.41273372,1.882545438,2.41273372
53,1.082298572,1.082298572,1.082298572,1.028733143,1.082298572,1.028733143,1.028733143,1.567571252,1.162778812,1.136885522,0.816513127,1.09068658,0.816513127,0.816513127,1.113191152,0.771117809,0.864930264,0.764564805,1.274612207,0.764564805,0.764564805,1.216244671,0.854687351,0.948637316,0.744270529,1.277163462,0.744270529,0.744270529
54,1.697697116,1.697697116,1.613674207,1.613674207,1.613674207,1.613674207,1.613674207,2.089424815,1.628546913,1.53747005,1.53747005,1.53747005,1.53747005,1.53747005,1.298008594,0.99173697,1.751552922,1.751552922,1.751552922,1.751552922,1.751552922,1.592637799,0.973724941,1.675984765,1.675984765,1.675984765,1.675984765,1.675984765
57,3.068756042,3.068756042,3.068756042,3.068756042,3.068756042,2.916876294,2.916876294,2.905740502,2.897526274,2.044949662,2.019282868,2.533093855,3.400603386,3.400603386,2.382849209,1.778939969,1.615622504,1.565060189,2.867881939,2.873622664,2.873622664,2.224113483,1.649845092,1.516192144,1.467125528,2.542979068,3.159586146,3.159586146
58,0.535126097,0.508641484,0.535126097,0.535126097,0.535126097,0.508641484,0.508641484,0.584888406,0.5593071,0.430996184,0.41224176,0.474056857,0.5593071,0.5593071,0.522010622,0.5675274,0.36152772,0.346182932,0.541819894,0.5675274,0.5675274,0.536665775,0.583770954,0.375208031,0.356964843,0.524239682,0.583770954,0.583770954
59,0.550501998,0.550501998,0.550501998,0.550501998,0.523256396,0.523256396,0.523256396,0.628370207,0.488404712,0.463824474,0.451186732,0.530292997,0.530292997,0.530292997,0.462294294,0.339897124,0.320170117,0.306580723,0.571426343,0.571426343,0.571426343,0.512364416,0.340364853,0.358386406,0.342557682,0.570446996,0.570446996,0.570446996
60,0.873071805,0.829861487,0.829861487,0.829861487,0.829861487,0.873071805,0.829861487,0.925005069,0.808983443,0.808983443,0.808983443,0.808983443,0.720333036,0.808983443,0.754012813,0.785771922,0.785771922,0.785771922,0.673871864,0.785771922,0.785771922,0.82523872,0.809572864,0.809572864,0.809572864,0.809572864,0.56526669,0.809572864
61,2.838189385,2.838189385,2.838189385,2.838189385,2.838189385,2.697720908,2.697720908,3.090812703,2.37754959,2.15682075,2.1416713,2.892453004,3.543302631,3.543302631,3.119850754,2.293838176,2.13774392,2.096817498,3.215257986,3.169936436,3.169936436,2.940711547,1.787734859,2.010069802,1.965142265,2.936998679,3.679995406,3.679995406
62,0.654211096,0.654211096,0.654211096,0.654211096,0.654211096,0.621832694,0.621832694,0.638388234,0.517520058,0.474466188,0.484675125,0.586838906,0.690116633,0.690116633,0.583790978,0.445979033,0.400017729,0.392359518,0.72128439,0.628472948,0.628472948,0.552568408,0.392411209,0.375943167,0.36849093,0.649350666,0.699483643,0.699483643
63,2.13904449,2.033178291,2.13904449,2.13904449,2.13904449,2.033178291,2.033178291,2.280441599,2.160336266,1.649380337,1.723196499,1.838628249,2.160336266,2.160336266,1.730712985,1.971091086,1.275904576,1.275008008,1.842002163,1.971091086,1.971091086,1.811888978,1.948869958,1.318451017,1.323583393,1.801100887,1.948869958,1.948869958
66,1.051297139,1.051297139,1.051297139,1.051297139,1.051297139,0.999266042,0.999266042,1.232353589,1.08007098,0.953332504,0.942257789,1.158364519,0.954601995,0.954601995,0.936517177,0.883474198,0.746587475,0.734802421,1.15338098,1.015422818,1.015422818,1.062507883,0.800416774,0.856626671,0.823345312,1.253067391,0.999606443,0.999606443
67,1.68712199,1.68712199,1.603622468,1.68712199,1.68712199,1.603622468,1.603622468,2.181020714,1.574706852,1.502329228,1.748000164,2.050343846,1.502329228,1.502329228,2.770386665,1.159912036,1.618278671,1.060285716,1.649287026,1.618278671,1.618278671,3.147907179,1.084682517,1.507168441,1.318938985,1.940538528,1.507168441,1.507168441
68,1.588183901,1.588183901,1.588183901,1.588183901,1.588183901,1.509581052,1.509581052,1.731589283,1.443020493,1.400623664,1.358907454,1.554042975,1.576105977,1.576105977,1.545576108,1.136368935,1.111204681,1.024983106,1.592840913,1.566452634,1.566452634,1.536516171,1.28465067,1.118499682,1.023268159,1.518366777,1.569958573,1.569958573
69,2.621711148,2.621711148,2.621711148,2.621711148,2.621711148,2.491956674,2.491956674,3.127806762,2.39568373,2.223557658,2.251952408,2.489933667,2.283520997,2.283520997,2.238547557,1.68765923,1.517891033,1.591538387,2.315895076,2.255503961,2.255503961,2.522374765,1.70247089,1.696717405,1.757727867,2.434540817,2.08195033,2.08195033
70,2.166156362,2.166156362,2.166156362,2.058948335,2.166156362,2.058948335,2.058948335,2.624323767,2.023924753,1.928838356,1.814528917,2.628504182,1.814528917,1.814528917,2.389786705,1.292335624,1.140558696,1.981619319,2.028207645,1.981619319,1.981619319,2.674962663,1.343146865,1.353468351,1.772774467,2.493589645,1.772774467,1.772774467
71,1.436105524,1.365029381,1.365029381,1.365029381,1.436105524,1.365029381,1.365029381,2.018526612,1.131855691,1.131855691,1.131855691,1.717487838,1.131855691,1.131855691,1.380487353,1.159541478,1.159541478,1.159541478,1.410677564,1.159541478,1.159541478,1.714897716,1.071308692,1.071308692,1.071308692,1.689318891,1.071308692,1.071308692
72,1.517369675,1.517369675,1.517369675,1.517369675,1.517369675,1.442271583,1.442271583,1.861575924,1.399341818,1.327681995,1.258767579,1.572127713,1.506846577,1.506846577,1.805095127,1.296990282,1.223892933,1.185590137,1.830979037,1.327120577,1.327120577,1.862048811,1.080577068,1.27396402,1.218925931,1.804762439,1.397231332,1.397231332
73,3.730291954,3.730291954,3.730291954,3.730291954,3.730291954,3.545671284,3.545671284,5.140611705,3.432392621,3.546268535,3.219260807,3.89455555,3.003496997,3.003496997,3.895372538,2.834199158,2.715063771,2.625787997,2.777140099,2.674227329,2.674227329,4.506131656,2.780757067,3.111378053,3.023530513,3.07320234,2.415150018,2.415150018
74,2.50996394,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,3.006094748,2.339989602,2.339989602,2.339989602,2.339989602,2.339989602,2.339989602,3.104536396,2.220063087,2.220063087,2.220063087,2.220063087,2.220063087,2.220063087,3.052002142,2.191923026,2.191923026,2.191923026,2.191923026,2.191923026,2.191923026
75,1.201419689,1.201419689,1.201419689,1.201419689,1.201419689,1.141958684,1.141958684,1.382857313,1.164080819,0.97658354,0.999584449,1.098502124,1.191166976,1.191166976,1.155670733,0.860414678,0.772375294,0.811409653,1.180706437,1.178402477,1.178402477,1.19472047,0.832987116,0.805130579,0.833482423,1.148922065,1.206311645,1.206311645
76,1.848345722,1.848345722,1.848345722,1.848345722,1.848345722,1.756866869,1.756866869,2.586637598,1.832277572,1.669806453,1.618087847,1.860639728,1.904868091,1.904868091,2.826610055,1.488055736,1.3122173,1.291779679,2.021797913,2.100097227,2.100097227,2.968246951,1.442762463,1.431532553,1.39603966,2.050204328,2.052124892,2.052124892
77,2.18954893,2.081183152,2.081183152,2.18954893,2.081183152,2.081183152,2.081183152,2.925567517,2.134135987,2.134135987,1.852324479,2.134135987,2.134135987,2.134135987,2.930616344,1.95752719,1.95752719,1.880651445,1.95752719,1.95752719,1.95752719,2.948247121,1.973734871,1.973734871,1.830418576,1.973734871,1.973734871,1.973734871
78,0.603751046,0.573870027,0.603751046,0.603751046,0.573870027,0.573870027,0.573870027,0.742002722,0.604487199,0.503947853,0.476361042,0.604487199,0.604487199,0.604487199,0.584960719,0.640556053,0.400049094,0.399113558,0.640556053,0.640556053,0.640556053,0.61656258,0.652284022,0.419671112,0.402097933,0.652284022,0.652284022,0.652284022
79,4.470484369,4.470484369,4.470484369,4.249229884,4.249229884,4.249229884,4.249229884,6.253654965,4.37777608,4.407953272,4.143440406,4.143440406,4.143440406,4.143440406,4.58753419,3.135666022,3.191582048,4.596333704,4.596333704,4.596333704,4.596333704,5.417940998,2.971724269,3.752307738,4.274235778,4.274235778,4.274235778,4.274235778
80,1.207351955,1.147597349,1.207351955,1.207351955,1.207351955,1.147597349,1.147597349,1.696358755,0.916186963,1.260377848,1.236465515,1.37216527,0.916186963,0.916186963,1.458878207,0.813425482,0.979579315,0.96161299,1.465270065,0.813425482,0.813425482,1.749624187,0.741446766,1.182272679,1.152441458,1.642795759,0.741446766,0.741446766
81,5.176885466,4.920669577,5.176885466,5.176885466,4.920669577,4.920669577,5.176885466,6.724546423,4.34422519,3.998179018,4.545882318,4.34422519,4.34422519,3.59570364,5.049589643,3.528553156,4.041794403,3.221209713,2.796355389,3.528553156,3.528553156,5.451071945,3.456039083,4.317341351,3.579505927,3.456039083,3.456039083,2.496458462
82,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.446953303,0.917163593,0.917163593,0.917163593,0.917163593,0.917163593,0.917163593,1.044489398,0.905882972,0.905882972,0.905882972,0.905882972,0.905882972,0.905882972,1.173801427,0.895157465,0.895157465,0.895157465,0.895157465,0.895157465,0.895157465
83,0.882358107,0.882358107,0.882358107,0.882358107,0.882358107,0.838688188,0.838688188,1.129143578,1.045986631,0.951447964,0.942537607,1.089714611,0.728204093,0.728204093,0.98450812,0.695419325,0.683151205,0.670621625,1.014615071,0.871376891,0.871376891,1.122422111,0.825150718,0.806334673,0.787730116,1.130605734,0.780589288,0.780589288
84,4.504811326,4.504811326,4.504811326,4.504811326,4.504811326,4.281857922,4.281857922,6.557642597,4.186526693,4.44860343,4.672074438,6.202245158,3.815282774,3.815282774,5.860854747,3.211816852,3.115625004,3.097287864,4.686032822,4.02574619,4.02574619,6.154869794,3.16914993,3.514570751,3.42991274,5.029684233,3.791855246,3.791855246
85,5.424233058,5.424233058,5.424233058,5.424233058,5.424233058,5.155775372,5.155775372,8.005068907,5.494261148,5.122431326,5.614477257,7.220586787,4.482539997,4.482539997,5.962966458,4.455043261,3.996204107,3.826588052,5.98909231,4.618385527,4.618385527,6.958595404,4.089240623,4.626439478,4.519824179,6.732568525,4.196965159,4.196965159
86,1.056481991,1.056481991,1.056481991,1.056481991,1.056481991,1.004194283,1.004194283,1.317174433,0.866757062,0.873457192,0.864490533,0.964501148,0.981647173,0.981647173,1.080067217,0.74556568,0.711002521,0.720158736,1.079903596,0.842886313,0.842886313,1.124469635,0.621263872,0.736824033,0.73659428,1.057954419,0.898806676,0.898806676
87,1.090153323,1.090153323,1.090153323,1.090153323,1.090153323,1.036199145,1.036199145,1.365746644,1.068674639,0.937327691,0.911965524,1.050424805,0.879322382,0.879322382,0.995040082,0.768258018,0.670323119,0.678907105,1.056687666,0.734904486,0.734904486,1.110135027,0.675337753,0.766781429,0.753506023,1.100614557,0.734441682,0.734441682
